Field	PhpType	Populated	Seen	Example	Residential	Commercial Lease	Income	Commercial Sale	Business Opportunity	Vacant Land	Residential Lease
STELLAR_EscrowAgentEmail	string	215	1202	tspanola@brokerstitle.net	1/18	0/3	0/1	169/501	45/199	0/1	0/501
STELLAR_EscrowAgentFax	string	25	1202	863-678-3620	0/18	0/3	0/1	20/501	5/199	0/1	0/501
STELLAR_EscrowAgentName	string	222	1202	Tracey Spanola	1/18	0/3	0/1	171/501	50/199	0/1	0/501
STELLAR_EscrowAgentPhone	string	215	1202	813-355-5100	1/18	0/3	0/1	170/501	44/199	0/1	0/501
STELLAR_EscrowCity	string	209	1202	Tampa	0/18	0/3	0/1	168/501	41/199	0/1	0/501
STELLAR_EscrowCompany	string	228	1202	Brokers Title of Florida	1/18	0/3	0/1	178/501	49/199	0/1	0/501
STELLAR_EscrowPostalCode	string	201	1202	33618	0/18	0/3	0/1	161/501	40/199	0/1	0/501
STELLAR_EscrowState	string	698	1202	FL	3/18	0/3	0/1	496/501	198/199	0/1	1/501
STELLAR_EscrowStreetName	string	198	1202	Madaca Lane	0/18	0/3	0/1	159/501	39/199	0/1	0/501
STELLAR_EscrowStreetNumber	string	204	1202	3644	0/18	0/3	0/1	164/501	40/199	0/1	0/501
STELLAR_EstAnnualMarketIncome	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_ExistLseTenantYN	boolean	9	1202	true	3/18	0/3	0/1	1/501	0/199	0/1	5/501
STELLAR_ExpectedClosingDate	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_ExpectedLeaseDate	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_ExpectedOnMarketDate	string	2	1202	2026-05-28	0/18	0/3	0/1	1/501	1/199	0/1	0/501
STELLAR_ExpireRenewalDate	string	1	1202	2016-08-01	0/18	0/3	0/1	0/501	0/199	0/1	1/501
STELLAR_FCHRURLYN	boolean	1	1202	true	0/18	0/3	0/1	0/501	0/199	0/1	1/501
STELLAR_FloodZoneCode	string	576	1202	X	3/18	0/3	0/1	497/501	75/199	0/1	1/501
STELLAR_FloodZoneDate	string	268	1202	2016-12-22	0/18	0/3	0/1	221/501	46/199	0/1	1/501
STELLAR_FloodZonePanel	string	262	1202	12105C0700G	0/18	0/3	0/1	216/501	45/199	0/1	1/501
STELLAR_FloorNumber	string	303	1202	1	3/18	0/3	0/1	0/501	0/199	0/1	300/501
STELLAR_ForLeaseYN	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_FreestandingYN	boolean	84	1202	true	0/18	0/3	0/1	84/501	0/199	0/1	0/501
STELLAR_FreezerSpaceYN	boolean	67	1202	true	0/18	0/3	0/1	42/501	25/199	0/1	0/501
STELLAR_FutureLandUse	string	28	1202	commerical	0/18	0/3	0/1	26/501	2/199	0/1	0/501
STELLAR_GarageDimensions	string	6	1202	21x21	0/18	0/3	0/1	0/501	0/199	0/1	6/501
STELLAR_GarageDoorHeight	string	10	1202	14	0/18	0/3	0/1	9/501	1/199	0/1	0/501
STELLAR_Geolocation	string	17	1202	Edgewater N:442-NSB City Limit	0/18	0/3	0/1	8/501	0/199	0/1	9/501
STELLAR_GiftedDonated	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_GreenEnergyGenerationYN	boolean	739	1202	false	2/18	0/3	0/1	365/501	178/199	0/1	194/501
STELLAR_GreenLandscaping	array	1	1202	["Xeriscape"]	0/18	0/3	0/1	0/501	0/199	0/1	1/501
STELLAR_GreenVerificationCount	integer	935	1202	0	2/18	0/3	0/1	448/501	189/199	0/1	296/501
STELLAR_HERSIndex	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_HomesteadYN	boolean	4	1202	false	3/18	0/3	0/1	1/501	0/199	0/1	0/501
STELLAR_ILSTotalSQFT	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_ILSUnderAirSQFT	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_InLawSuiteDescrip	array	2	1202	["1 Bathroom","1 Bedroom","Attached","Kitchen","Private Entrance"]	0/18	0/3	0/1	0/501	0/199	0/1	2/501
STELLAR_InLawSuiteYN	boolean	350	1202	false	3/18	0/3	0/1	0/501	0/199	0/1	347/501
STELLAR_LastDateAvailable	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_LastMonthsRent	integer	1	1202	0	0/18	0/3	0/1	0/501	0/199	0/1	1/501
STELLAR_LeasableArea	integer	15	1202	4041	0/18	0/3	0/1	13/501	2/199	0/1	0/501
STELLAR_LeasableAreaUnits	string	3	1202	Square Feet	0/18	0/3	0/1	3/501	0/199	0/1	0/501
STELLAR_LeasePricePerAcre	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_LeaseRestrictionsYN	boolean	3	1202	true	3/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_ListOfficeContactPreferred	string	1202	1202	727-776-2013	3/18	0/3	0/1	500/501	198/199	0/1	501/501
STELLAR_ListOfficeHeadOfficeKeyNumeric	integer	1202	1202	591592334	3/18	0/3	0/1	500/501	198/199	0/1	501/501
STELLAR_ListSource	string	1202	1202	MATRIX	3/18	0/3	0/1	500/501	198/199	0/1	501/501
STELLAR_ListSourceOriginal	string	1183	1202	MATRIX	3/18	0/3	0/1	496/501	198/199	0/1	486/501
STELLAR_LongTermYN	boolean	500	1202	false	0/18	0/3	0/1	1/501	0/199	0/1	499/501
STELLAR_Management	string	137	1202	Owner Manager	0/18	0/3	0/1	69/501	44/199	0/1	24/501
STELLAR_ManufacturingSpaceHeated	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_ManufacturingSpaceTotal	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_MasterBedSize	string	80	1202	Queen	0/18	0/3	0/1	0/501	0/199	0/1	80/501
STELLAR_MatrixTesting	boolean	1202	1202	false	3/18	0/3	0/1	500/501	198/199	0/1	501/501
STELLAR_MaxPetWeight	integer	62	1202	10	1/18	0/3	0/1	0/501	0/199	0/1	61/501
STELLAR_MillageRate	double	15	1202	16.64	0/18	0/3	0/1	3/501	0/199	0/1	12/501
STELLAR_MinimumLease	string	213	1202	No Minimum	3/18	0/3	0/1	0/501	0/199	0/1	210/501
STELLAR_MlsMajorChangeType	string	1201	1202	New Listing	3/18	0/3	0/1	499/501	198/199	0/1	501/501
STELLAR_MonthToMonthOrWeeklyYN	boolean	1	1202	false	1/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_MonthlyCondoFeeAmount	integer	44	1202	250	2/18	0/3	0/1	41/501	1/199	0/1	0/501
STELLAR_MonthlyHOAAmount	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_MonthsAvailable	array	362	1202	["2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","20	0/18	0/3	0/1	0/501	0/199	0/1	362/501
STELLAR_MontlyMaintAmtAdditionToHOA	integer	2	1202	0	2/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_NetOperatingIncomeType	string	43	1202	Actual	0/18	0/3	0/1	28/501	15/199	0/1	0/501
STELLAR_NoDriveBeach	string	1	1202	See Remark(s)	0/18	0/3	0/1	0/501	0/199	0/1	1/501
STELLAR_NumOfOwnYearsPriorToLse	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_NumTimesperYear	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_NumberOfPaddocksPastures	integer	1	1202	6	0/18	0/3	0/1	0/501	0/199	0/1	1/501
STELLAR_NumberOfPets	string	103	1202	2	0/18	0/3	0/1	0/501	0/199	0/1	103/501
STELLAR_NumberOfSeptics	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_NumberOfStalls	integer	2	1202	4	0/18	0/3	0/1	0/501	0/199	0/1	2/501
STELLAR_NumberOfWells	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_NumofBays	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_NumofBaysDockHigh	integer	6	1202	1	0/18	0/3	0/1	4/501	2/199	0/1	0/501
STELLAR_NumofBaysGradeLevel	integer	15	1202	7	0/18	0/3	0/1	13/501	2/199	0/1	0/501
STELLAR_NumofConferenceMeetingRooms	integer	15	1202	1	0/18	0/3	0/1	13/501	2/199	0/1	0/501
STELLAR_NumofOffices	integer	49	1202	1	0/18	0/3	0/1	41/501	8/199	0/1	0/501
STELLAR_OffSeasonRent	integer	138	1202	2625	0/18	0/3	0/1	0/501	0/199	0/1	138/501
STELLAR_OfficeIDXOfficeParticipationYN	boolean	1202	1202	true	3/18	0/3	0/1	500/501	198/199	0/1	501/501
STELLAR_OfficeRetailSpaceSqFt	integer	62	1202	3762	0/18	0/3	0/1	51/501	11/199	0/1	0/501
STELLAR_OfficeSyndicateTo	array	1202	1202	["Apartments.com","International MLS","Realtor.com","Zillow Rental","SkySlope Offers"]	3/18	0/3	0/1	500/501	198/199	0/1	501/501
STELLAR_OpenHouseCount	integer	7	1202	0	0/18	0/3	0/1	6/501	1/199	0/1	0/501
STELLAR_OriginatingSystemTimestamp	string	10	1202	2020-02-09T05:30:10.867Z	0/18	0/3	0/1	2/501	0/199	0/1	8/501
STELLAR_OtherExemptionsYN	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_OtherFeesAmount	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_OtherFeesDescription	string	1	1202	First time background check $35 to $50 each	0/18	0/3	0/1	0/501	0/199	0/1	1/501
STELLAR_OtherFeesTerm	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_ParkingFeeTenants	integer	3	1202	0	0/18	0/3	0/1	0/501	0/199	0/1	3/501
STELLAR_ParkingFeeTenantsFrequency	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_PetDepositFee	integer	64	1202	150	0/18	0/3	0/1	0/501	0/199	0/1	64/501
STELLAR_PetFeeNonRefundable	integer	44	1202	75	0/18	0/3	0/1	0/501	0/199	0/1	44/501
STELLAR_PetMonthlyFee	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_PetRestrictions	string	66	1202	breed restrictions	0/18	0/3	0/1	0/501	0/199	0/1	66/501
STELLAR_PetSize	string	72	1202	Very Small (Under 15 Lbs.)	1/18	0/3	0/1	0/501	0/199	0/1	71/501
STELLAR_PlannedUnitDevelopmentYN	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_PoolDimensions	string	9	1202	28x14	0/18	0/3	0/1	0/501	0/199	0/1	9/501
STELLAR_PreviousStatus	string	157	1202	Temporarily Off-Market	0/18	0/3	0/1	87/501	20/199	0/1	50/501
STELLAR_PricePerAcre	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_ProjectedCompletionDate	string	17	1202	2027-06-30T04:00:00.000Z	1/18	0/3	0/1	15/501	0/199	0/1	1/501
STELLAR_PropertyManager	string	31	1202	lambert	0/18	0/3	0/1	26/501	5/199	0/1	0/501
STELLAR_PropertyManagerPhone	string	24	1202	9544835111	0/18	0/3	0/1	20/501	4/199	0/1	0/501
STELLAR_PublicRemarksAgent	string	1202	1202	Welcome to this charming corner-unit 1-bedroom, 1-bath loft-style condo offering character	3/18	0/3	0/1	500/501	198/199	0/1	501/501
STELLAR_PublicRemarksRequired	string	26	1202	Pre-Construction. To be built.	1/18	0/3	0/1	21/501	1/199	0/1	3/501
STELLAR_PublicRemarksSpanishReq	string	24	1202	Construcción Previa.	0/18	0/3	0/1	21/501	1/199	0/1	2/501
STELLAR_RATIO_ClosePrice_By_ListPrice	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_RATIO_ClosePrice_By_OriginalListPrice	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_RATIO_CurrentPrice_By_BuildingAreaTotal	double	1007	1202	208.33	3/18	0/3	0/1	500/501	90/199	0/1	414/501
STELLAR_RATIO_CurrentPrice_By_CalculatedSqFt	double	1094	1202	208.33	3/18	0/3	0/1	500/501	90/199	0/1	501/501
STELLAR_RETSUpdateTransactionYN	boolean	1202	1202	false	3/18	0/3	0/1	500/501	198/199	0/1	501/501
STELLAR_RealtorInfo	array	245	1202	["Currently Leased"]	0/18	0/3	0/1	122/501	43/199	0/1	80/501
STELLAR_RealtorInfoConfidential	array	17	1202	["Go To Site"]	0/18	0/3	0/1	13/501	1/199	0/1	3/501
STELLAR_RegionalAOR	string	4	1202	Sarasota - Manatee	0/18	0/3	0/1	0/501	0/199	0/1	4/501
STELLAR_RentSpreeURL	string	98	1202	https://apply.link/4815vVa	0/18	0/3	0/1	0/501	0/199	0/1	98/501
STELLAR_RentSpreeYN	boolean	296	1202	true	0/18	0/3	0/1	0/501	0/199	0/1	296/501
STELLAR_Representation	string	29	1202	Seller Represented	0/18	0/3	0/1	23/501	3/199	0/1	3/501
STELLAR_SDEOYN	boolean	1202	1202	false	3/18	0/3	0/1	500/501	198/199	0/1	501/501
STELLAR_SWSubdivCommunityName	string	345	1202	Tropical Gulf Acres	1/18	0/3	0/1	0/501	0/199	0/1	344/501
STELLAR_SWSubdivCondoNum	string	2	1202	7478	0/18	0/3	0/1	0/501	0/199	0/1	2/501
STELLAR_SeasonalRent	integer	154	1202	3875	0/18	0/3	0/1	0/501	0/199	0/1	154/501
STELLAR_SecurityDeposit	integer	216	1202	500	0/18	0/3	0/1	0/501	0/199	0/1	216/501
STELLAR_SellerRepresentation	string	616	1202	Transaction Broker	2/18	0/3	0/1	427/501	187/199	0/1	0/501
STELLAR_ShowingConsiderations	array	258	1202	["Pet(s) on Premises"]	2/18	0/3	0/1	112/501	35/199	0/1	109/501
STELLAR_ShowingRequirements	array	1199	1202	["Call Listing Agent"]	3/18	0/3	0/1	499/501	198/199	0/1	499/501
STELLAR_ShowingTime	string	3	1202	View Instructions	0/18	0/3	0/1	0/501	0/199	0/1	3/501
STELLAR_SolarLeaseFinanceTerms	string	1	1202	Assumable	0/18	0/3	0/1	1/501	0/199	0/1	0/501
STELLAR_SolarPanelOwnership	string	5	1202	Owned Outright	0/18	0/3	0/1	4/501	0/199	0/1	1/501
STELLAR_SoldRemarks	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_SpaceType	string	17	1202	New	0/18	0/3	0/1	13/501	4/199	0/1	0/501
STELLAR_StateLandUseCode	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_StatePropertyUseCode	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_SubdivisionNum	string	14	1202	53406	0/18	0/3	0/1	13/501	1/199	0/1	0/501
STELLAR_SubdivisionSectionNumber	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_TempOffMarketDate	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_TenantName	string	2	1202	OWNER	0/18	0/3	0/1	1/501	0/199	0/1	1/501
STELLAR_TenantPhone	string	2	1202	000-000-0000	0/18	0/3	0/1	1/501	0/199	0/1	1/501
STELLAR_ThirdPartyYN	boolean	1201	1202	true	3/18	0/3	0/1	499/501	198/199	0/1	501/501
STELLAR_TotalAcreage	string	545	1202	1/2 to less than 1	1/18	0/3	0/1	500/501	44/199	0/1	0/501
STELLAR_TotalAnnualFees	integer	1162	1202	3000	3/18	0/3	0/1	493/501	198/199	0/1	468/501
STELLAR_TotalDocumentsCount	integer	482	1202	0	1/18	0/3	0/1	202/501	43/199	0/1	236/501
STELLAR_TotalMonthlyExpenses	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_TotalMonthlyFees	integer	1162	1202	250	3/18	0/3	0/1	493/501	198/199	0/1	468/501
STELLAR_TotalPhotosCount	integer	1202	1202	13	3/18	0/3	0/1	500/501	198/199	0/1	501/501
STELLAR_UnitCount	integer	1	1202	0	0/18	0/3	0/1	1/501	0/199	0/1	0/501
STELLAR_UnitNumberYN	boolean	1202	1202	false	3/18	0/3	0/1	500/501	198/199	0/1	501/501
STELLAR_UniversalPropertyId	string	1082	1202	US-12103-N-322916106750020308-S-308	3/18	0/3	0/1	499/501	83/199	0/1	497/501
STELLAR_UnparsedAddress	string	1198	1202	2142 BRADFORD ST #308	3/18	0/3	0/1	500/501	194/199	0/1	501/501
STELLAR_UseCode	string	48	1202	2100	0/18	0/3	0/1	42/501	6/199	0/1	0/501
STELLAR_VirtualTourURLBranded2	string	3	1202	www.floridastripcentersforsale.com	0/18	0/3	0/1	1/501	1/199	0/1	1/501
STELLAR_VirtualTourURLUnbranded2	string	20	1202	https://opulent-rem.aryeo.com/sites/gqqrnrq/unbranded	0/18	0/3	0/1	12/501	3/199	0/1	5/501
STELLAR_VirtuallyStagedYN	boolean	1091	1202	false	3/18	0/3	0/1	496/501	91/199	0/1	501/501
STELLAR_WarehouseSpaceHeated	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_WarehouseSpaceTotal	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_WaterAccess	array	155	1202	["Pond"]	1/18	0/3	0/1	13/501	3/199	0/1	138/501
STELLAR_WaterAccessYN	boolean	1198	1202	true	3/18	0/3	0/1	499/501	198/199	0/1	498/501
STELLAR_WaterExtras	array	45	1202	["Seawall - Concrete"]	0/18	0/3	0/1	3/501	2/199	0/1	40/501
STELLAR_WaterExtrasYN	boolean	1199	1202	false	3/18	0/3	0/1	499/501	198/199	0/1	499/501
STELLAR_WaterView	array	189	1202	["Pond"]	1/18	0/3	0/1	20/501	3/199	0/1	165/501
STELLAR_WaterViewYN	boolean	1199	1202	true	3/18	0/3	0/1	499/501	198/199	0/1	499/501
STELLAR_WaterfrontFeetTotal	integer	1189	1202	20	3/18	0/3	0/1	496/501	198/199	0/1	492/501
STELLAR_WeeklyRent	integer	5	1202	1200	0/18	0/3	0/1	0/501	0/199	0/1	5/501
STELLAR_WeeksAvailable	array	74	1202	["2024 Nov 3 until Nov 9","2024 Nov 10 until Nov 16","2025","May 04 until May 10","2025","	0/18	0/3	0/1	0/501	0/199	0/1	74/501
STELLAR_YrsOfOwnerPriorToLeasingReqYN	boolean	2	1202	false	2/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_ZoningCompatibleYN	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
SecurityFeatures	array	161	1202	["Fire Sprinkler System","Security System"]	0/18	0/3	0/1	60/501	26/199	0/1	75/501
SeniorCommunityYN	boolean	493	1202	false	3/18	0/3	0/1	0/501	0/199	0/1	490/501
SerialU	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
SerialX	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
SerialXX	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
Sewer	array	403	1202	["Public Sewer"]	3/18	0/3	0/1	218/501	59/199	0/1	123/501
Skirt	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
SourceSystemKey	string	1202	1202	799934446	3/18	0/3	0/1	500/501	198/199	0/1	501/501
SourceSystemName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
SpaFeatures	array	42	1202	["Heated","In Ground"]	0/18	0/3	0/1	0/501	0/199	0/1	42/501
SpaYN	boolean	64	1202	true	0/18	0/3	0/1	0/501	0/199	0/1	64/501
SpecialListingConditions	array	700	1202	["None"]	3/18	0/3	0/1	499/501	198/199	0/1	0/501
StandardStatus	string	1202	1202	Active	3/18	0/3	0/1	500/501	198/199	0/1	501/501
StateOrProvince	string	1202	1202	FL	3/18	0/3	0/1	500/501	198/199	0/1	501/501
StatusChangeTimestamp	string	1201	1202	2026-07-14T02:07:24.770Z	3/18	0/3	0/1	500/501	198/199	0/1	500/501
Stories	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
StoriesTotal	integer	507	1202	2	2/18	0/3	0/1	238/501	45/199	0/1	222/501
StreetAdditionalInfo	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
StreetDirPrefix	string	310	1202	NW	0/18	0/3	0/1	205/501	69/199	0/1	36/501
StreetDirSuffix	string	91	1202	SE	1/18	0/3	0/1	43/501	13/199	0/1	34/501
StreetName	string	1129	1202	BRADFORD	3/18	0/3	0/1	486/501	155/199	0/1	485/501
StreetNumber	string	1127	1202	2142	3/18	0/3	0/1	486/501	153/199	0/1	485/501
StreetNumberNumeric	integer	1175	1202	2142	3/18	0/3	0/1	491/501	180/199	0/1	501/501
StreetSuffix	string	985	1202	STREET	3/18	0/3	0/1	386/501	132/199	0/1	464/501
StreetSuffixModifier	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
StructureType	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
SubdivisionName	string	877	1202	BRADFORD ACRES A CONDO	3/18	0/3	0/1	347/501	61/199	0/1	466/501
TaxAnnualAmount	double	594	1202	1786.38	3/18	0/3	0/1	445/501	69/199	0/1	77/501
TaxBlock	string	430	1202	0	2/18	0/3	0/1	377/501	51/199	0/1	0/501
TaxBookNumber	string	468	1202	81-126	2/18	0/3	0/1	396/501	67/199	0/1	3/501
TaxExemptions	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
TaxLegalDescription	string	531	1202	BRADFORD ACRES CONDO PHASE II BLDG 3, UNIT 308 TOGETHER WITH THE USE OF PARKING SPACE 308	3/18	0/3	0/1	444/501	81/199	0/1	3/501
TaxLot	string	504	1202	0	3/18	0/3	0/1	435/501	66/199	0/1	0/501
TaxOtherAnnualAssessmentAmount	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
TaxYear	integer	715	1202	2025	3/18	0/3	0/1	446/501	189/199	0/1	77/501
Telephone	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
TenantPays	array	214	1202	["Electricity","Water"]	0/18	0/3	0/1	1/501	0/199	0/1	213/501
Topography	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
TotalActualRent	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
UnitNumber	string	399	1202	308	2/18	0/3	0/1	69/501	25/199	0/1	303/501
UnitTypeType	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
UnparsedAddress	string	1129	1202	2142 BRADFORD STREET UNIT 308	3/18	0/3	0/1	486/501	155/199	0/1	485/501
Utilities	array	384	1202	["Cable Available","Cable Connected","Public","Sewer Available","Sewer Connected"]	3/18	0/3	0/1	197/501	64/199	0/1	120/501
Vegetation	array	69	1202	["Trees\/Landscaped"]	0/18	0/3	0/1	57/501	11/199	0/1	1/501
View	array	151	1202	["Water"]	0/18	0/3	0/1	0/501	0/199	0/1	151/501
ViewYN	boolean	1202	1202	false	3/18	0/3	0/1	500/501	198/199	0/1	501/501
VirtualTourURLBranded	string	32	1202	https://autoranch-palmcoast.mybuzz.page/	0/18	0/3	0/1	17/501	5/199	0/1	10/501
VirtualTourURLUnbranded	string	979	1202	https://www.propertypanorama.com/instaview/stellar/TB8528949	3/18	0/3	0/1	404/501	136/199	0/1	436/501
VirtualTourURLZillow	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
WaterBodyName	string	33	1202	PEACE RIVER	0/18	0/3	0/1	3/501	1/199	0/1	29/501
WaterSource	array	393	1202	["Public"]	3/18	0/3	0/1	198/501	60/199	0/1	132/501
WaterfrontFeatures	array	143	1202	["Pond"]	1/18	0/3	0/1	11/501	3/199	0/1	128/501
WaterfrontYN	boolean	1199	1202	true	3/18	0/3	0/1	498/501	198/199	0/1	500/501
WindowFeatures	array	174	1202	["Aluminum Frames"]	0/18	0/3	0/1	51/501	18/199	0/1	105/501
YearBuilt	integer	1085	1202	1986	3/18	0/3	0/1	498/501	86/199	0/1	498/501
YearBuiltEffective	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
YearBuiltSource	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
YearEstablished	integer	198	1202	1976	0/18	0/3	0/1	0/501	198/199	0/1	0/501
Zoning	string	437	1204	CG	1/18	0/3	0/1	368/501	63/199	1/1	4/501
ZoningDescription	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
seeded	boolean	22	22	true	15/18	3/3	1/1	1/501	1/199	1/1	0/501
