BridgeField	Type	Populated/1224	Example	NativeColumn	OnPropertyCandidate	ImportMapsToForm	ReviewPresenterSection	StellarDetailDisplays	ImportedListingDisplays	Status
STELLAR_BuilderLicenseNumber	string	2	CBC1260831	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_BuildingElevatorYN	boolean	120	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_BuildingNameNumber	string	328	2142	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_BusinessOpportunityWithRealEstateYN	boolean	197	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_BuyersCountryofResidence	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_BuyersIntendedUse	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_BuyersPremium	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_BuyersZipCode	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_CDDYN	boolean	3	false	cdd_yn	Y	Y	N	Y	Y	FULL PARITY
STELLAR_CalculatedListPriceByCalculatedSqFt	double	1094	208.33	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_CallCenterPhoneNumber	string	99	3865664966	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_CeilingHeight	string	86	8 to 9 Feet	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_CeilingType	array	89	["Drywall"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_CensusBlock	string	227	2	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_CensusTract	string	368	024508	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ClosePriceByCalculatedListPriceRatio	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_ClosePriceByCalculatedSqFt	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_ComTransactionTerms	array	26	["For Exchange","Pre Sale"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ComTransactionType	array	15	["Commercial Sale"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ComingSoonDate	string	2	2026-05-29	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ComplexCommunityNameNCCB	string	10	LYNN HAVEN	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ComplexDevelopmentName	string	40	Parktowne Industrial Center	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ConditionExpDate	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_CondoEnvironmentYN	boolean	112	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_CondoFees	integer	45	250	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_CondoFeesTerm	string	44	Monthly	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_CondoLandIncludedYN	boolean	2	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ContractStatus	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_ConvertedResidenceYN	boolean	82	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_CountyLandUseCode	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_CountyPropertyUseCode	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_CreateAutomaticVirtualTourYN	boolean	1196	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_CurrencyMonthlyRentAmt	integer	1	1200	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_CurrentAdjacentUse	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_CurrentPrice	integer	1202	100000	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_DPRURL	string	4	https://www.workforce-resource.com/dpr/listing/MFRMLS/TB8528949?w=Agent&skip_sso=true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_DPRURL2	string	4	https://www.workforce-resource.com/dpr/listing/MFRMLS/TB8528949?w=Customer	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_DPRYN	boolean	4	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_DaysNoticeToTenantIfNotRenew	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_DaysToClosed	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_DaystoContract	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_DepositsYN	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_Development	string	121	Parktowne Industrial Center	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_DisasterMitigation	array	8	["Above Flood Plain"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_DockDescrip	array	31	["Dock - Concrete"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_DockDimensions	string	13	14X12	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_DockLiftCap	integer	3	3	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_DockMntncFee	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_DockMntncFeeFrqncy	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_DockYN	boolean	192	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_DockYrBlt	integer	1	1965	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_DoorHeight	string	9	14	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_DoorWidth	string	11	12	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_Easements	string	3	Other	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_EavesHeight	string	6	20	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_EscrowAgentEmail	string	215	tspanola@brokerstitle.net	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_EscrowAgentFax	string	25	863-678-3620	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_EscrowAgentName	string	222	Tracey Spanola	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_EscrowAgentPhone	string	215	813-355-5100	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_EscrowCity	string	209	Tampa	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_EscrowCompany	string	228	Brokers Title of Florida	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_EscrowPostalCode	string	201	33618	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_EscrowState	string	698	FL	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_EscrowStreetName	string	198	Madaca Lane	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_EscrowStreetNumber	string	204	3644	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_EstAnnualMarketIncome	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_ExistLseTenantYN	boolean	9	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ExpectedClosingDate	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_ExpectedLeaseDate	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_ExpectedOnMarketDate	string	2	2026-05-28	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ExpireRenewalDate	string	1	2016-08-01	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_FCHRURLYN	boolean	1	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_FloodZoneCode	string	576	X	—	Y	Y	N	N	Y	IMPORT ONLY
STELLAR_FloodZoneDate	string	268	2016-12-22	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_FloodZonePanel	string	262	12105C0700G	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_FloorNumber	string	303	1	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ForLeaseYN	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_FreestandingYN	boolean	84	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_FreezerSpaceYN	boolean	67	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_FutureLandUse	string	28	commerical	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_GarageDimensions	string	6	21x21	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_GarageDoorHeight	string	10	14	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_Geolocation	string	17	Edgewater N:442-NSB City Limit	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_GiftedDonated	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_GreenEnergyGenerationYN	boolean	739	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_GreenLandscaping	array	1	["Xeriscape"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_GreenVerificationCount	integer	935	0	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_HERSIndex	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_HomesteadYN	boolean	4	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ILSTotalSQFT	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_ILSUnderAirSQFT	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_InLawSuiteDescrip	array	2	["1 Bathroom","1 Bedroom","Attached","Kitchen","Private Entrance"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_InLawSuiteYN	boolean	350	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_LastDateAvailable	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_LastMonthsRent	integer	1	0	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_LeasableArea	integer	15	4041	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_LeasableAreaUnits	string	3	Square Feet	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_LeasePricePerAcre	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_LeaseRestrictionsYN	boolean	3	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ListOfficeContactPreferred	string	1202	727-776-2013	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ListOfficeHeadOfficeKeyNumeric	integer	1202	591592334	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ListSource	string	1202	MATRIX	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ListSourceOriginal	string	1183	MATRIX	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_LongTermYN	boolean	500	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_Management	string	137	Owner Manager	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ManufacturingSpaceHeated	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_ManufacturingSpaceTotal	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_MasterBedSize	string	80	Queen	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_MatrixTesting	boolean	1202	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_MaxPetWeight	integer	62	10	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_MillageRate	double	15	16.64	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_MinimumLease	string	213	No Minimum	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_MlsMajorChangeType	string	1201	New Listing	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_MonthToMonthOrWeeklyYN	boolean	1	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_MonthlyCondoFeeAmount	integer	44	250	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_MonthlyHOAAmount	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_MonthsAvailable	array	362	["2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","20	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_MontlyMaintAmtAdditionToHOA	integer	2	0	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_NetOperatingIncomeType	string	43	Actual	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_NoDriveBeach	string	1	See Remark(s)	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_NumOfOwnYearsPriorToLse	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_NumTimesperYear	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_NumberOfPaddocksPastures	integer	1	6	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_NumberOfPets	string	103	2	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_NumberOfSeptics	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_NumberOfStalls	integer	2	4	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_NumberOfWells	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_NumofBays	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_NumofBaysDockHigh	integer	6	1	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_NumofBaysGradeLevel	integer	15	7	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_NumofConferenceMeetingRooms	integer	15	1	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_NumofOffices	integer	49	1	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_OffSeasonRent	integer	138	2625	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_OfficeIDXOfficeParticipationYN	boolean	1202	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_OfficeRetailSpaceSqFt	integer	62	3762	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_OfficeSyndicateTo	array	1202	["Apartments.com","International MLS","Realtor.com","Zillow Rental","SkySlope Offers"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_OpenHouseCount	integer	7	0	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_OriginatingSystemTimestamp	string	10	2020-02-09T05:30:10.867Z	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_OtherExemptionsYN	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_OtherFeesAmount	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_OtherFeesDescription	string	1	First time background check $35 to $50 each	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_OtherFeesTerm	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_ParkingFeeTenants	integer	3	0	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ParkingFeeTenantsFrequency	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_PetDepositFee	integer	64	150	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_PetFeeNonRefundable	integer	44	75	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_PetMonthlyFee	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_PetRestrictions	string	66	breed restrictions	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_PetSize	string	72	Very Small (Under 15 Lbs.)	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_PlannedUnitDevelopmentYN	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_PoolDimensions	string	9	28x14	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_PreviousStatus	string	157	Temporarily Off-Market	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_PricePerAcre	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_ProjectedCompletionDate	string	17	2027-06-30T04:00:00.000Z	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_PropertyManager	string	31	lambert	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_PropertyManagerPhone	string	24	9544835111	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_PublicRemarksAgent	string	1202	Welcome to this charming corner-unit 1-bedroom, 1-bath loft-style condo offering character	—	N	N	N	N	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
STELLAR_PublicRemarksRequired	string	26	Pre-Construction. To be built.	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_PublicRemarksSpanishReq	string	24	Construcción Previa.	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_RATIO_ClosePrice_By_ListPrice	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_RATIO_ClosePrice_By_OriginalListPrice	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_RATIO_CurrentPrice_By_BuildingAreaTotal	double	1007	208.33	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_RATIO_CurrentPrice_By_CalculatedSqFt	double	1094	208.33	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_RETSUpdateTransactionYN	boolean	1202	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_RealtorInfo	array	245	["Currently Leased"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_RealtorInfoConfidential	array	17	["Go To Site"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_RegionalAOR	string	4	Sarasota - Manatee	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_RentSpreeURL	string	98	https://apply.link/4815vVa	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_RentSpreeYN	boolean	296	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_Representation	string	29	Seller Represented	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_SDEOYN	boolean	1202	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_SWSubdivCommunityName	string	345	Tropical Gulf Acres	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_SWSubdivCondoNum	string	2	7478	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_SeasonalRent	integer	154	3875	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_SecurityDeposit	integer	216	500	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_SellerRepresentation	string	616	Transaction Broker	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ShowingConsiderations	array	258	["Pet(s) on Premises"]	—	N	N	N	N	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
STELLAR_ShowingRequirements	array	1199	["Call Listing Agent"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ShowingTime	string	3	View Instructions	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_SolarLeaseFinanceTerms	string	1	Assumable	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_SolarPanelOwnership	string	5	Owned Outright	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_SoldRemarks	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_SpaceType	string	17	New	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_StateLandUseCode	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_StatePropertyUseCode	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_SubdivisionNum	string	14	53406	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_SubdivisionSectionNumber	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_TempOffMarketDate	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_TenantName	string	2	OWNER	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_TenantPhone	string	2	000-000-0000	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ThirdPartyYN	boolean	1201	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_TotalAcreage	string	545	1/2 to less than 1	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_TotalAnnualFees	integer	1162	3000	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_TotalDocumentsCount	integer	482	0	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_TotalMonthlyExpenses	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_TotalMonthlyFees	integer	1162	250	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_TotalPhotosCount	integer	1202	13	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_UnitCount	integer	1	0	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_UnitNumberYN	boolean	1202	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_UniversalPropertyId	string	1082	US-12103-N-322916106750020308-S-308	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_UnparsedAddress	string	1198	2142 BRADFORD ST #308	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_UseCode	string	48	2100	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_VirtualTourURLBranded2	string	3	www.floridastripcentersforsale.com	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_VirtualTourURLUnbranded2	string	20	https://opulent-rem.aryeo.com/sites/gqqrnrq/unbranded	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_VirtuallyStagedYN	boolean	1091	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_WarehouseSpaceHeated	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_WarehouseSpaceTotal	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_WaterAccess	array	155	["Pond"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_WaterAccessYN	boolean	1198	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_WaterExtras	array	45	["Seawall - Concrete"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_WaterExtrasYN	boolean	1199	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_WaterView	array	189	["Pond"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_WaterViewYN	boolean	1199	true	water_view_yn	Y	N	N	Y	N	SEARCH ONLY (import loses)
STELLAR_WaterfrontFeetTotal	integer	1189	20	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_WeeklyRent	integer	5	1200	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_WeeksAvailable	array	74	["2024 Nov 3 until Nov 9","2024 Nov 10 until Nov 16","2025","May 04 until May 10","2025","	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_YrsOfOwnerPriorToLeasingReqYN	boolean	2	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ZoningCompatibleYN	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
SecurityFeatures	array	161	["Fire Sprinkler System","Security System"]	—	N	N	N	Y	N	SEARCH ONLY (import loses)
SeniorCommunityYN	boolean	493	false	senior_community_yn	Y	N	Community	Y	N	SEARCH + REVIEW ONLY (import loses)
SerialU	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
SerialX	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
SerialXX	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
Sewer	array	403	["Public Sewer"]	—	Y	Y	Utilities	Y	Y	FULL PARITY
Skirt	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
SourceSystemKey	string	1202	799934446	—	N	N	N	N	N	RAW-JSON ONLY (never read)
SourceSystemName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
SpaFeatures	array	42	["Heated","In Ground"]	—	N	N	Exterior	Y	N	SEARCH + REVIEW ONLY (import loses)
SpaYN	boolean	64	true	—	N	N	Exterior	Y	N	SEARCH + REVIEW ONLY (import loses)
SpecialListingConditions	array	700	["None"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
StandardStatus	string	1202	Active	standard_status	Y	N	N	N	N	NORMALIZER CARRIES / IMPORT MAPPER DROPS IT
StateOrProvince	string	1202	FL	state_or_province	Y	Y	N	Y	Y	FULL PARITY
StatusChangeTimestamp	string	1201	2026-07-14T02:07:24.770Z	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Stories	-	0		—	N	N	N	Y	N	NOT POPULATED IN SAMPLE
StoriesTotal	integer	507	2	—	N	N	Interior	N	N	REVIEW ONLY (not persisted)
StreetAdditionalInfo	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
StreetDirPrefix	string	310	NW	—	N	N	N	N	N	RAW-JSON ONLY (never read)
StreetDirSuffix	string	91	SE	—	N	N	N	N	N	RAW-JSON ONLY (never read)
StreetName	string	1129	BRADFORD	—	N	N	N	N	N	RAW-JSON ONLY (never read)
StreetNumber	string	1127	2142	—	N	N	N	N	N	RAW-JSON ONLY (never read)
StreetNumberNumeric	integer	1175	2142	—	N	N	N	N	N	RAW-JSON ONLY (never read)
StreetSuffix	string	985	STREET	—	N	N	N	N	N	RAW-JSON ONLY (never read)
StreetSuffixModifier	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
StructureType	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
SubdivisionName	string	877	BRADFORD ACRES A CONDO	—	N	N	Community	Y	N	SEARCH + REVIEW ONLY (import loses)
TaxAnnualAmount	double	594	1786.38	tax_annual_amount	Y	Y	Property Details	Y	Y	FULL PARITY
TaxBlock	string	430	0	—	N	N	Property Details	N	N	REVIEW ONLY (not persisted)
TaxBookNumber	string	468	81-126	—	N	N	N	N	N	RAW-JSON ONLY (never read)
TaxExemptions	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
TaxLegalDescription	string	531	BRADFORD ACRES CONDO PHASE II BLDG 3, UNIT 308 TOGETHER WITH THE USE OF PARKING SPACE 308	—	Y	Y	N	N	Y	IMPORT ONLY
TaxLot	string	504	0	—	N	N	Property Details	N	N	REVIEW ONLY (not persisted)
TaxOtherAnnualAssessmentAmount	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
TaxYear	integer	715	2025	—	Y	Y	Property Details	N	Y	IMPORT ONLY
Telephone	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
TenantPays	array	214	["Electricity","Water"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Topography	-	0		—	N	N	Exterior	N	N	NOT POPULATED IN SAMPLE
TotalActualRent	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
UnitNumber	string	399	308	—	N	N	N	Y	N	SEARCH ONLY (import loses)
UnitTypeType	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
UnparsedAddress	string	1129	2142 BRADFORD STREET UNIT 308	unparsed_address	Y	Y	N	Y	Y	FULL PARITY
